Asset_Name,Reason_Comments,Total_Count_Reason_Comment,Reason_ActionTaken,Total_Count_ActionTaken,Location
dje27,acb & vcb maintenance,1,wtg stopped acb & vcb relay testing & servicing work,1,bhatkheda
dje27,anemometer 1 communication warning.,1,wtg stopped attending warning,1,bhatkheda
dje27,anemometer 2 communication warning.,3,attended restored,2,bhatkheda
dje27,anemometer 2 communication warning.,3,wtg stopped attending warning,1,bhatkheda
dje27,anemometer 2 measurement error.,7,auto reset,3,bhatkheda
dje27,anemometer 2 measurement error.,7,checked anemometer connections restored wtg,2,bhatkheda
dje27,anemometer 2 measurement error.,7,wtg reset restored,2,bhatkheda
dje27,blade 1: communication failure (slave master operational state guarding error).,3,checked communication cable,1,bhatkheda
dje27,blade 1: communication failure (slave master operational state guarding error).,3,wtg reset restored.,1,bhatkheda
dje27,blade 1: communication failure (slave master operational state guarding error).,3,wtg restoration work progress,1,bhatkheda
dje27,blade 1: ips active blade state stop_ok.,1,wtg reset restored.,1,bhatkheda
dje27,blade 1: ips active feathering position.,3,auto reset,3,bhatkheda
dje27,blade 1: ips active wrong area.,6,auto reset,4,bhatkheda
dje27,blade 1: ips active wrong area.,6,wtg reset restored,2,bhatkheda
dje27,blade 1: pitch converter error.,3,found blade 1&3 pitch convertor faulty & material available (feeder tripped),1,bhatkheda
dje27,blade 1: pitch converter error.,3,found blade 1&3 pitch convertor faulty & material available.,1,bhatkheda
dje27,blade 1: pitch converter error.,3,wtg stopped half yearly uss maintenance work done found blade 1&3 pitch convertor faulty uss pm & material available,1,bhatkheda
dje27,blade 1: rms pitch motor torque overload plausible (greater maximum allowed).,2,checked proximity sensor & sensor,2,bhatkheda
dje27,blade 1: timeout happened stopping blades.,1,wtg reset restored.,1,bhatkheda
dje27,blade 2: blade grid loss (udc near battery voltage).,3,attend,2,bhatkheda
dje27,blade 2: blade grid loss (udc near battery voltage).,3,replaced power cable ovp panel hc200 panel,1,bhatkheda
dje27,blade 2: ips active wrong area.,4,auto reset,1,bhatkheda
dje27,blade 2: ips active wrong area.,4,wtg reset & restored wtg,3,bhatkheda
dje27,blade 3: big deviations model (inside hysteresis).,2,reboot & restored wtg,2,bhatkheda
dje27,blade 3: blade state plausibility.,1,auto reset,1,bhatkheda
dje27,blade 3: communication failure (slave master operational state guarding error).,8,blade 3: communication failure (slave master operational state guarding error). replace pitch converter also done yearly preventive maintenance also activity tower torquing & blade tensioning work done(09:30-17:10),1,bhatkheda
dje27,blade 3: communication failure (slave master operational state guarding error).,8,found blade 3 pitch convertor faulty & wtg restoration work progress,7,bhatkheda
dje27,blade 3: ips active wrong area.,3,auto reset,2,bhatkheda
dje27,blade 3: ips active wrong area.,3,wtg reset restored,1,bhatkheda
dje27,blade 3: pitch converter error.,11,attend,1,bhatkheda
dje27,blade 3: pitch converter error.,11,found blade 3 pitch convertor faulty & material available,5,bhatkheda
dje27,blade 3: pitch converter error.,11,found blade 3 pitch convertor faulty & wtg restoration work progress,3,bhatkheda
dje27,blade 3: pitch converter error.,11,replaced 02 no. pitch convertor,1,bhatkheda
dje27,blade 3: pitch converter error.,11,replaced blade no.3 pitch convertor & 12 nos. generator power carbon brushes,1,bhatkheda
dje27,blade 3: rms pitch motor torque overload plausible (greater maximum allowed).,2,checked proximity sensor & connection,2,bhatkheda
dje27,blade bearing lubrication maintenance state.,7,reboot & restored,1,bhatkheda
dje27,blade bearing lubrication maintenance state.,7,reboot & restored wtg,3,bhatkheda
dje27,blade bearing lubrication maintenance state.,7,reboot restore wtg,1,bhatkheda
dje27,blade bearing lubrication maintenance state.,7,reboot restored wtg,2,bhatkheda
dje27,blade inspection,1,wtg stopped blade inspection work,1,bhatkheda
dje27,blade teeth lubrication maintenance state.,36,attend,1,bhatkheda
dje27,blade teeth lubrication maintenance state.,36,checked blade lubber & related circuit also top grease,1,bhatkheda
dje27,blade teeth lubrication maintenance state.,36,pitch,1,bhatkheda
dje27,blade teeth lubrication maintenance state.,36,reboot & restart,1,bhatkheda
dje27,blade teeth lubrication maintenance state.,36,reboot & restored,1,bhatkheda
dje27,blade teeth lubrication maintenance state.,36,reboot & restored wtg,16,bhatkheda
dje27,blade teeth lubrication maintenance state.,36,reboot & restored wtg 1:33,1,bhatkheda
dje27,blade teeth lubrication maintenance state.,36,reboot restored wtg,13,bhatkheda
dje27,blade teeth lubrication maintenance state.,36,wtg reboot restored,1,bhatkheda
dje27,cc100 fuse line voltage filter open/broken.,1,replaced 250amp fuse,1,bhatkheda
dje27,converter system handshake timeout exception.,1,reboot & restored wtg,1,bhatkheda
dje27,convertor system communication handshake fault.,5,auto reset,1,bhatkheda
dje27,convertor system communication handshake fault.,5,reboot & restored wtg,3,bhatkheda
dje27,convertor system communication handshake fault.,5,wtg reset restored,1,bhatkheda
dje27,convertor system fault active.,2,attend,1,bhatkheda
dje27,convertor system fault active.,2,replaced 02 nos. generator earthing brush new one also checked & tighting connection clogging sensor gearbox filter,1,bhatkheda
dje27,current,2,feeder charged,2,bhatkheda
dje27,customer request,1,wtg stopped customer inspection work,1,bhatkheda
dje27,customer stoppage,4,wtg stopped customer audit work,3,bhatkheda
dje27,customer stoppage,4,wtg stopped customer wtg inspection work,1,bhatkheda
dje27,detected grid state converter faulted ok.,13,auto reset,1,bhatkheda
dje27,detected grid state converter faulted ok.,13,auto reset grid voltage ok.,1,bhatkheda
dje27,detected grid state converter faulted ok.,13,checked & found uss acb tripped checked related circuit found ok,2,bhatkheda
dje27,detected grid state converter faulted ok.,13,found vcb tripped current checked related circuit found ok,1,bhatkheda
dje27,detected grid state converter faulted ok.,13,replaced pm3000,1,bhatkheda
dje27,detected grid state converter faulted ok.,13,wtg auto reset grid normalization,1,bhatkheda
dje27,detected grid state converter faulted ok.,13,wtg auto rested grid normalization,1,bhatkheda
dje27,detected grid state converter faulted ok.,13,wtg reset restored.,1,bhatkheda
dje27,detected grid state converter faulted ok.,13,wtg reset restored. (jerk feeder),1,bhatkheda
dje27,detected grid state converter faulted ok.,13,wtg rested grid normalization,1,bhatkheda
dje27,detected grid state converter faulted ok.,13,wtg restoration work progress,2,bhatkheda
dje27,drive train swinging.,1,wtg reset restored.,1,bhatkheda
dje27,earth fault,1,fdr 5 charged,1,bhatkheda
dje27,efficiency upgrade,1,special activity - software updation modification,1,bhatkheda
dje27,error,1,wtg reset restored.,1,bhatkheda
dje27,external shutdown,3,220 kv bus add new 160 mva transformer eb,1,bhatkheda
dje27,external shutdown,3,mpptcl team take 220kv line shutdown main bus work daloda substation,1,bhatkheda
dje27,external shutdown,3,shutdown taken mpptcl 220kv substation,1,bhatkheda
dje27,fdr 5 trip current,1,feeder charged,1,bhatkheda
dje27,fdr 5 trip due earth fault,1,feeder charged frist trail,1,bhatkheda
dje27,feeder 5 tripped e/f,1,restored feeder,1,bhatkheda
dje27,feeder jerk,1,autoreset,1,bhatkheda
dje27,feeder shutdown,1,feeder shutdown taken uup13 isolator jumper work,1,bhatkheda
dje27,feeder shutdownfor lws maintenance,1,feeder manitenance completed,1,bhatkheda
dje27,feeder tripped e/f,17,feeder charged,14,bhatkheda
dje27,feeder tripped e/f,17,feeder restored,1,bhatkheda
dje27,feeder tripped e/f,17,found vcb tripped common fault checked related circuit found ok,1,bhatkheda
dje27,feeder tripped e/f,17,replaced power transformer hv side r-phase busing conductor restored wtg,1,bhatkheda
dje27,feeder tripped o/c,1,feeder charged,1,bhatkheda
dje27,gearbox oil filter 100% clogged.,5,attended restored,1,bhatkheda
dje27,gearbox oil filter 100% clogged.,5,replaced gearbox on-line filter,1,bhatkheda
dje27,gearbox oil filter 100% clogged.,5,reset & resttart,1,bhatkheda
dje27,gearbox oil filter 100% clogged.,5,wtg restoration work progress,2,bhatkheda
dje27,gearbox oil filter 75% clogged.,3,attend,2,bhatkheda
dje27,gearbox oil filter 75% clogged.,3,"wtg attending warring ""gearbox oil filter 75% clogged."" replaced gearbox on-line oil filter",1,bhatkheda
dje27,gearbox oil filter system pressure error limit.,2,checked gearbox oil filter connections found ok restored wtg,2,bhatkheda
dje27,generator bearing temperature de warning limit.,7,manually generator de&nde side bearing greasing done also checked generator lubber operations,4,bhatkheda
dje27,generator bearing temperature de warning limit.,7,wtg stopped attending repeated warning,3,bhatkheda
dje27,generator grounding brush worn warning.,5,attended,2,bhatkheda
dje27,generator grounding brush worn warning.,5,checked generator grounding brush,2,bhatkheda
dje27,generator grounding brush worn warning.,5,"wtg stopped attending warning ""generator grounding brush worn warning."" checked generator grounding brush feedback connections & limit switch",1,bhatkheda
dje27,generator side hardware detected over-current fault phase a.,6,attended restored,3,bhatkheda
dje27,generator side hardware detected over-current fault phase a.,6,checked power carbon brush & cleaned generator slip ring,1,bhatkheda
dje27,generator side hardware detected over-current fault phase a.,6,replaced 02 nos. earthing carbon brush new one restored wtg,1,bhatkheda
dje27,generator side hardware detected over-current fault phase a.,6,replaced 04 nos power carbon brush & carbon brush holder assembly cleaned generator slip ring restored wtg,1,bhatkheda
dje27,generator side hardware detected over-current fault phase c.,1,wtg reset restored,1,bhatkheda
dje27,grid loss,3,auto reset grid voltage ok.,2,bhatkheda
dje27,grid loss,3,due heavy jerk,1,bhatkheda
dje27,grid voltage ok.,10,attend,1,bhatkheda
dje27,grid voltage ok.,10,attended restored,1,bhatkheda
dje27,grid voltage ok.,10,check & found dry transformer panel y-phase cable burn corrected & restored wtg,1,bhatkheda
dje27,grid voltage ok.,10,feeder restored,2,bhatkheda
dje27,grid voltage ok.,10,found acb tripped earth fault checked related circuit found ok,1,bhatkheda
dje27,grid voltage ok.,10,found oil leakage transformer lv side bushing side arrested top 100 ltr oil,1,bhatkheda
dje27,grid voltage ok.,10,replaced 04 no. usable generator power carbon brush & cleaned generator slip ring,1,bhatkheda
dje27,grid voltage ok.,10,replaced 2.30mva transformer,1,bhatkheda
dje27,grid voltage ok.,10,wtg auto rested grid normalization,1,bhatkheda
dje27,gsc igbt temperature error limit.,6,checked & found pm3000 failure waiting material & wtg restoration work progress,5,bhatkheda
dje27,gsc igbt temperature error limit.,6,replaced 03 nos. gsb side igbt & 550 amp fuse 01 nos. driver board restored wtg,1,bhatkheda
dje27,health check error.,3,auto reset,2,bhatkheda
dje27,health check error.,3,wtg reset restored,1,bhatkheda
dje27,hub healthcheck alarm.,44,auto reset,11,bhatkheda
dje27,hub healthcheck alarm.,44,reboot & restored wtg,6,bhatkheda
dje27,hub healthcheck alarm.,44,reboot & restored wtg.,3,bhatkheda
dje27,hub healthcheck alarm.,44,reboot restored wtg,3,bhatkheda
dje27,hub healthcheck alarm.,44,reset & restart,3,bhatkheda
dje27,hub healthcheck alarm.,44,reset restored,1,bhatkheda
dje27,hub healthcheck alarm.,44,wtg reset & restored wtg,3,bhatkheda
dje27,hub healthcheck alarm.,44,wtg reset restored,12,bhatkheda
dje27,hub healthcheck alarm.,44,wtg reset restored.,2,bhatkheda
dje27,hub healthcheck timeout.,1,wtg reset restored,1,bhatkheda
dje27,internal shutdown,23,220/33kv substation yearly maintenance work,1,bhatkheda
dje27,internal shutdown,23,feeder shutdown taken customer 220kv line maintenance gss substation,1,bhatkheda
dje27,internal shutdown,23,feeder shutdown taken customer 220kv line work substation mainteance work,1,bhatkheda
dje27,internal shutdown,23,feeder shutdown taken customer 220kv line work substation maintenance work,2,bhatkheda
dje27,internal shutdown,23,feeder shutdown taken customer ofc cable laying work,1,bhatkheda
dje27,internal shutdown,23,feeder shutdown taken customer tree cutting work,1,bhatkheda
dje27,internal shutdown,23,feeder shutdown taken customer vcb servicing & relay testing work gss,1,bhatkheda
dje27,internal shutdown,23,feeder shutdown taken lws maintenance customer,1,bhatkheda
dje27,internal shutdown,23,feeder shutdown taken lws maintenance customer.,3,bhatkheda
dje27,internal shutdown,23,feeder-5 internal shutdown taken safety purpose,1,bhatkheda
dje27,internal shutdown,23,internal feeder shutdown taken jumper work near dje05,1,bhatkheda
dje27,internal shutdown,23,internal shutdown taken customer 33kv bus mainteance work,1,bhatkheda
dje27,internal shutdown,23,internal shutdown taken customer jumper work,3,bhatkheda
dje27,internal shutdown,23,internal shutdown taken customer line maintenance work,1,bhatkheda
dje27,internal shutdown,23,internal shutdown taken customer line maintenance work completed & feeder charged,1,bhatkheda
dje27,internal shutdown,23,internal shutdown taken customer lws activity,1,bhatkheda
dje27,internal shutdown,23,shutdown taken customer bird guard fixing work,1,bhatkheda
dje27,internal shutdown,23,wtg stopped customer 220kv line maintenance gss substation,1,bhatkheda
dje27,line side breaker feedback active commanded close.,6,auto reset,2,bhatkheda
dje27,line side breaker feedback active commanded close.,6,reboot & restored wtg,1,bhatkheda
dje27,line side breaker feedback active commanded close.,6,wtg reset & restored wtg,2,bhatkheda
dje27,line side breaker feedback active commanded close.,6,wtg reset restored,1,bhatkheda
dje27,lsc igbt temperature error limit.,11,checked & found pm3000 failure waiting material & wtg restoration work progress,8,bhatkheda
dje27,lsc igbt temperature error limit.,11,replaced 03 nos. driver board & 01 nos. dbr card restored wtg,1,bhatkheda
dje27,lsc igbt temperature error limit.,11,replaced dbr card new one restored wtg,1,bhatkheda
dje27,lsc igbt temperature error limit.,11,wtg restoration work progress,1,bhatkheda
dje27,lvrt sag depth fail sag deep threshold,13,auto reset,6,bhatkheda
dje27,lvrt sag depth fail sag deep threshold,13,reset restore wtg,2,bhatkheda
dje27,lvrt sag depth fail sag deep threshold,13,wtg reset & restored wtg,1,bhatkheda
dje27,lvrt sag depth fail sag deep threshold,13,wtg reset restored,4,bhatkheda
dje27,manual stop,6,220kv s/s shutdown taken lws maintenance work,1,bhatkheda
dje27,manual stop,6,fdr 5 lws maintenance plan,1,bhatkheda
dje27,manual stop,6,stopped nacelle orientation setting correction,1,bhatkheda
dje27,manual stop,6,wtg stopped blade lps resistance measurement work done,1,bhatkheda
dje27,manual stop,6,wtg stopped blade tensioning work done,1,bhatkheda
dje27,manual stop,6,wtg stopped parameters checking work,1,bhatkheda
dje27,modification,3,new plc software version 2.4.0 updated work done,1,bhatkheda
dje27,modification,3,wtg stopped gps time synchronization work,1,bhatkheda
dje27,modification,3,wtg stopped ngcc software updated work done,1,bhatkheda
dje27,nacelle inspection,1,wtg stopped nacelle inspection work,1,bhatkheda
dje27,nacelle rotation overspeed.,2,auto reset,2,bhatkheda
dje27,pitch started wrong capacitor state.,8,auto reset,2,bhatkheda
dje27,pitch started wrong capacitor state.,8,reboot & restored wtg,1,bhatkheda
dje27,pitch started wrong capacitor state.,8,reset restored wtg,1,bhatkheda
dje27,pitch started wrong capacitor state.,8,wtg reset restored,4,bhatkheda
dje27,preventive maintenance,26,attend,1,bhatkheda
dje27,preventive maintenance,26,attend pm,1,bhatkheda
dje27,preventive maintenance,26,attended,1,bhatkheda
dje27,preventive maintenance,26,wtg stopped acb & vcb relay testing & servicing work,1,bhatkheda
dje27,preventive maintenance,26,wtg stopped half yearly preventive maintenance,2,bhatkheda
dje27,preventive maintenance,26,wtg stopped half yearly preventive maintenance also activity generator alignment work done,3,bhatkheda
dje27,preventive maintenance,26,wtg stopped half yearly preventive maintenance work done,1,bhatkheda
dje27,preventive maintenance,26,wtg stopped half yearly uss maintenance work done,3,bhatkheda
dje27,preventive maintenance,26,wtg stopped uss visual preventive maintenance work done,1,bhatkheda
dje27,preventive maintenance,26,wtg stopped uss yearly preventive maintenance vcb,1,bhatkheda
dje27,preventive maintenance,26,wtg stopped visual maintenance work done,2,bhatkheda
dje27,preventive maintenance,26,wtg stopped wtg & uss visual maintenance work done also activity checking repeated tripping acb uss power transformer lv box,1,bhatkheda
dje27,preventive maintenance,26,wtg stopped wtg yearly preventive maintenance work done restored wtg,1,bhatkheda
dje27,preventive maintenance,26,wtg stopped yearly preventive maintenance work done,3,bhatkheda
dje27,preventive maintenance,26,wtg stopped yearly uss maintenance also activity acb & vcb testing work done,1,bhatkheda
dje27,preventive maintenance,26,wtg stopped yearly uss maintenance work,1,bhatkheda
dje27,preventive maintenance,26,wtg stopped yearly wtg maintenance work,2,bhatkheda
dje27,slc tiggered pitch safety run.,1,wtg reset restored.,1,bhatkheda
dje27,slc: emergency stop module error state.,2,reboot & restored wtg,2,bhatkheda
dje27,slc: pitch actuator supervision module error state.,3,reset,1,bhatkheda
dje27,slc: pitch actuator supervision module error state.,3,wtg reset restored,2,bhatkheda
dje27,slc: tower vibration switch tripped.,150,attend,2,bhatkheda
dje27,slc: tower vibration switch tripped.,150,auto reset,1,bhatkheda
dje27,slc: tower vibration switch tripped.,150,auto reseted,1,bhatkheda
dje27,slc: tower vibration switch tripped.,150,cleaning yaw rim surface & checked connections acceleration sensor,4,bhatkheda
dje27,slc: tower vibration switch tripped.,150,cleaning yaw rim surface & checked connections acceleration sensor & shielding also checked nacelle & rotor bolt torquing found ok,2,bhatkheda
dje27,slc: tower vibration switch tripped.,150,cleaning yaw rim surface & checked connections acceleration sensor also checked nacelle & rotor bolt torquing found ok,1,bhatkheda
dje27,slc: tower vibration switch tripped.,150,cleaning yaw rim surface & checked connections acceleration sensor restored wtg,3,bhatkheda
dje27,slc: tower vibration switch tripped.,150,reboot & restored wtg,1,bhatkheda
dje27,slc: tower vibration switch tripped.,150,reboot restored wtg,1,bhatkheda
dje27,slc: tower vibration switch tripped.,150,reset & restart,15,bhatkheda
dje27,slc: tower vibration switch tripped.,150,reset & restored wtg,2,bhatkheda
dje27,slc: tower vibration switch tripped.,150,reset &restart,1,bhatkheda
dje27,slc: tower vibration switch tripped.,150,reset restore wtg,4,bhatkheda
dje27,slc: tower vibration switch tripped.,150,reset restored wtg,1,bhatkheda
dje27,slc: tower vibration switch tripped.,150,wtg reboot & restored wtg,1,bhatkheda
dje27,slc: tower vibration switch tripped.,150,wtg reboot & restored wtg (delay due scada park hang),1,bhatkheda
dje27,slc: tower vibration switch tripped.,150,wtg reset & restored wtg,10,bhatkheda
dje27,slc: tower vibration switch tripped.,150,wtg reset restored,66,bhatkheda
dje27,slc: tower vibration switch tripped.,150,wtg reset restored.,30,bhatkheda
dje27,slc: tower vibration switch tripped.,150,wtg stopped attending repeated error,3,bhatkheda
dje27,special activity,14,blade resistance measurement work done,1,bhatkheda
dje27,special activity,14,wtg reset restored,1,bhatkheda
dje27,special activity,14,wtg stopped attending warning,1,bhatkheda
dje27,special activity,14,wtg stopped blade lps resistance measurement work,2,bhatkheda
dje27,special activity,14,wtg stopped checking temperature reading power cable cable joint,1,bhatkheda
dje27,special activity,14,wtg stopped external audit compliance point completed also activity anemometer earthing ft sensor wiring tb modification & & nacelle orientation fixed complete la cable nacelle work done,3,bhatkheda
dje27,special activity,14,wtg stopped external audit work also anemometer earthing ft sensor wiring tb modification work done,1,bhatkheda
dje27,special activity,14,wtg stopped fr paint checking work done,1,bhatkheda
dje27,special activity,14,wtg stopped parameter setting work,1,bhatkheda
dje27,special activity,14,wtg stopped power cable inspection work,1,bhatkheda
dje27,special activity,14,wtg stopped stator breaker inspection work,1,bhatkheda
dje27,special activity - blade lps resistance measurement & inspection,5,wtg stopped blade cleaning work also activity winch testing & climb assist checking work done,2,bhatkheda
dje27,special activity - blade lps resistance measurement & inspection,5,wtg stopped blade lps measurement work done restored wtg,1,bhatkheda
dje27,special activity - blade lps resistance measurement & inspection,5,wtg stopped blade lps resistance measurement work,1,bhatkheda
dje27,special activity - blade lps resistance measurement & inspection,5,wtg stopped blade lps resistance measurement work done,1,bhatkheda
dje27,special activity - repeated error rectification,15,attend,4,bhatkheda
dje27,special activity - repeated error rectification,15,attended restored,1,bhatkheda
dje27,special activity - repeated error rectification,15,wtg stopped attending repeated error,8,bhatkheda
dje27,special activity - repeated error rectification,15,wtg stopped attending repeated warning,1,bhatkheda
dje27,special activity - repeated error rectification,15,"wtg stopped attending warning ""wind direction difference warning""",1,bhatkheda
dje27,special activity - software updation modification,13,attend,3,bhatkheda
dje27,special activity - software updation modification,13,new plc software version 2.4.1 & sineax software updated work done,1,bhatkheda
dje27,special activity - software updation modification,13,new v1.0.21 version ngcc software updated work done,1,bhatkheda
dje27,special activity - software updation modification,13,wtg stopped cmm kit installation (emi filter) & modification drain top 40 ltr.,1,bhatkheda
dje27,special activity - software updation modification,13,wtg stopped parameter setting work,1,bhatkheda
dje27,special activity - software updation modification,13,wtg stopped plc software updation power booster,1,bhatkheda
dje27,special activity - software updation modification,13,wtg stopped plc software uploaded power booster up-gradation work,1,bhatkheda
dje27,special activity - software updation modification,13,wtg stopped power booster gradation work,1,bhatkheda
dje27,special activity - software updation modification,13,wtg stopped power curve checking,3,bhatkheda
dje27,special activity - uss yard inspection,4,internal shutdown taken uup13 isolator jumper work,1,bhatkheda
dje27,special activity - uss yard inspection,4,internal shutdown taken uup13 isolator jumper work completed & feeder charged restored wtg,1,bhatkheda
dje27,special activity - uss yard inspection,4,wtg stopped ht yard uss acb replacement work done,1,bhatkheda
dje27,special activity - uss yard inspection,4,wtg stopped uss acb cable checked & replaced 10 nos. power cable lug uss acb panel,1,bhatkheda
dje27,special activity - wtg critical points checking,35,attend,5,bhatkheda
dje27,special activity - wtg critical points checking,35,wtg stopped audit pending point compliance also activity visual wtg pm work done,2,bhatkheda
dje27,special activity - wtg critical points checking,35,wtg stopped cca cabinet acb checking work,1,bhatkheda
dje27,special activity - wtg critical points checking,35,wtg stopped customer audit compliance pending point work done,1,bhatkheda
dje27,special activity - wtg critical points checking,35,wtg stopped hypm pending point compliance work done,2,bhatkheda
dje27,special activity - wtg critical points checking,35,wtg stopped nosecone inspection work,2,bhatkheda
dje27,special activity - wtg critical points checking,35,wtg stopped power booster upgradtion work,1,bhatkheda
dje27,special activity - wtg critical points checking,35,wtg stopped stator breaker inspection work,7,bhatkheda
dje27,special activity - wtg critical points checking,35,wtg stopped uss acb temperature reading taken work,1,bhatkheda
dje27,special activity - wtg critical points checking,35,wtg stopped uss yard inspection work,1,bhatkheda
dje27,special activity - wtg critical points checking,35,wtg stopped winch door fixing work,1,bhatkheda
dje27,special activity - wtg critical points checking,35,wtg stopped winch testing & climb assist checking & inspection work done,1,bhatkheda
dje27,special activity - wtg critical points checking,35,wtg stopped winch testing work,1,bhatkheda
dje27,special activity - wtg critical points checking,35,wtg stopped wtg & uss yard inspection work done,1,bhatkheda
dje27,special activity - wtg critical points checking,35,wtg stopped wtg inspection work,1,bhatkheda
dje27,special activity - wtg critical points checking,35,yaw break pad retrofitted work completed,6,bhatkheda
dje27,special activity - wtg critical points checking,35,yaw break pad retrofitting work progress,1,bhatkheda
dje27,special activity - wtg parameters checking,6,wtg stopped anemometer parameter setting done,1,bhatkheda
dje27,special activity - wtg parameters checking,6,wtg stopped checking gap blade proximity sensor & metal referencing plate,1,bhatkheda
dje27,special activity - wtg parameters checking,6,wtg stopped convertor cabinet inspection work,1,bhatkheda
dje27,special activity - wtg parameters checking,6,wtg stopped parameter checking work,1,bhatkheda
dje27,special activity - wtg parameters checking,6,wtg stopped software parameter checking work done,2,bhatkheda
dje27,speed measurement deviation delayed generator rotor speed.,2,replaced torque limiter,2,bhatkheda
dje27,speed measurement generator speed negative maximum.,1,wtg auto reset wind speed normalize,1,bhatkheda
dje27,stator breaker failed closing demanded close.,28,attend,1,bhatkheda
dje27,stator breaker failed closing demanded close.,28,auto reset,9,bhatkheda
dje27,stator breaker failed closing demanded close.,28,checked acb spring charging motor & supply also checked closing coil,1,bhatkheda
dje27,stator breaker failed closing demanded close.,28,checked closing coil stator breaker & connection acb,3,bhatkheda
dje27,stator breaker failed closing demanded close.,28,checked related circuit found charging motor supply connections loosed tighting properly,1,bhatkheda
dje27,stator breaker failed closing demanded close.,28,reboot & restored wtg,3,bhatkheda
dje27,stator breaker failed closing demanded close.,28,replaced stator breaker,1,bhatkheda
dje27,stator breaker failed closing demanded close.,28,wtg reset restored,4,bhatkheda
dje27,stator breaker failed closing demanded close.,28,wtg restoration work progress,5,bhatkheda
dje27,stator breaker opened undervoltage release buffer ready.,37,auto reset,27,bhatkheda
dje27,stator breaker opened undervoltage release buffer ready.,37,reset & restart,1,bhatkheda
dje27,stator breaker opened undervoltage release buffer ready.,37,reset restore wtg,2,bhatkheda
dje27,stator breaker opened undervoltage release buffer ready.,37,wtg reset & restored wtg,3,bhatkheda
dje27,stator breaker opened undervoltage release buffer ready.,37,wtg reset restored,2,bhatkheda
dje27,stator breaker opened undervoltage release buffer ready.,37,wtg reset restored.,2,bhatkheda
dje27,tbc 24vdc cabinet power supply ok.,1,found 6f6 mpcb tripped tbc cabinet (convertor cooling radiator fan) checked connection & hold mpcb,1,bhatkheda
dje27,tbc ups module alarm.,2,checked & tighting connections feedback cable ups,1,bhatkheda
dje27,tbc ups module alarm.,2,replaced buffer module (9t4) tbc cabinet,1,bhatkheda
dje27,tbc ups module battery mode.,1,found 6f1 mpcb tripped tbc cabinet checked connection & hold mpcb,1,bhatkheda
dje27,torquing tensioning,4,attend,1,bhatkheda
dje27,torquing tensioning,4,wtg stopped blade tensioning & tower torquing work done,2,bhatkheda
dje27,torquing tensioning,4,wtg stopped tower torquing & blade tensioning work,1,bhatkheda
dje27,tower inspection,2,wtg stopped convertor checking inspection work,1,bhatkheda
dje27,tower inspection,2,wtg stopped wtg inspection work,1,bhatkheda
dje27,tower-vibration (acceleration peak-to-peak value) drivetrain direction error limit,12,auto reset,7,bhatkheda
dje27,tower-vibration (acceleration peak-to-peak value) drivetrain direction error limit,12,cleaning yaw rim surface & checked connections acceleration sensor restored wtg,1,bhatkheda
dje27,tower-vibration (acceleration peak-to-peak value) drivetrain direction error limit,12,reboot & restored wtg,1,bhatkheda
dje27,tower-vibration (acceleration peak-to-peak value) drivetrain direction error limit,12,wtg reset & restored wtg,2,bhatkheda
dje27,tower-vibration (acceleration peak-to-peak value) drivetrain direction error limit,12,wtg reset restored,1,bhatkheda
dje27,voltage difference,9,auto reset grid voltage ok.,4,bhatkheda
dje27,voltage difference,9,auto reset grid voltage ok. (due heavy jerk feeder),1,bhatkheda
dje27,voltage difference,9,auto reset grid voltage ok. (due heavy jerk),2,bhatkheda
dje27,voltage difference,9,auto reset grid voltage ok. (heavy jerk feeder),1,bhatkheda
dje27,voltage difference,9,wtg auto reset grid normalization,1,bhatkheda
dje27,wind speed difference error.,8,checked anemometer connections & anemometer mounting found ok,3,bhatkheda
dje27,wind speed difference error.,8,reboot restored wtg,1,bhatkheda
dje27,wind speed difference error.,8,reset & restart,1,bhatkheda
dje27,wind speed difference error.,8,wtg reset restored,3,bhatkheda
dje27,wtg stopped customer 220kv line work mpptcl,2,shutdown taken mpptcl feeder termination & jumpering work 220kv nagda neemuch-ii lilo line,2,bhatkheda
dje27,yaw converter error occurred.,2,attend,1,bhatkheda
dje27,yaw converter error occurred.,2,checked yaw 04 motor & cable found ok,1,bhatkheda
dje28,anemometer 2 measurement error.,6,auto reset,4,bhatkheda
dje28,anemometer 2 measurement error.,6,wtg reset restored,2,bhatkheda
dje28,blade 1: big deviations model (inside hysteresis).,1,reboot & restored wtg,1,bhatkheda
dje28,blade 1: ips active wrong area.,1,auto reset,1,bhatkheda
dje28,blade 2: ips active wrong area.,1,auto reset,1,bhatkheda
dje28,blade 2: safety run active.,4,auto reset,4,bhatkheda
dje28,blade 3: ips active wrong area.,1,auto reset,1,bhatkheda
dje28,blade bearing lubrication maintenance state.,4,reboot & restored wtg,3,bhatkheda
dje28,blade bearing lubrication maintenance state.,4,reboot restored wtg,1,bhatkheda
dje28,blade teeth lubrication maintenance state.,28,reboot & restored wtg,18,bhatkheda
dje28,blade teeth lubrication maintenance state.,28,reboot restored wtg,9,bhatkheda
dje28,blade teeth lubrication maintenance state.,28,reboot rsetored wtg,1,bhatkheda
dje28,current,1,line patrolling done,1,bhatkheda
dje28,customer request,1,internal feeder shutdown taken customer tree trimming work near dp38,1,bhatkheda
dje28,customer request/internal shutdown,1,wtg stopped customer bird guard fixing work,1,bhatkheda
